,법정동명,골프연습장업,목욕장업,석유판매업,세탁업,영화상영관,제과점영업,체력단련장업
241,동소문동2가,0,0,0,0,0,2,2
242,동소문동3가,0,1,0,0,0,0,1
243,동소문동4가,0,1,0,3,0,0,1
244,동소문동5가,0,1,0,2,0,1,2
245,동소문동6가,0,1,0,0,0,1,2
246,동소문동7가,0,1,0,1,0,2,0
247,삼선동1가,0,0,1,1,0,2,0
248,삼선동2가,0,0,0,2,0,2,0
249,삼선동3가,0,0,0,2,0,0,0
250,삼선동4가,1,1,0,0,0,0,0
251,삼선동5가,0,0,0,0,0,2,1
252,동선동1가,0,0,0,0,5,3,7
253,동선동2가,0,0,0,1,0,3,1
254,동선동3가,0,0,0,2,0,2,0
255,동선동4가,1,0,0,0,0,2,0
256,동선동5가,0,0,1,1,0,1,1
257,안암동1가,0,0,1,2,0,0,1
258,안암동2가,0,1,0,1,0,1,0
259,안암동3가,0,0,0,3,0,0,0
260,안암동4가,0,0,0,0,0,0,1
261,안암동5가,0,1,1,0,0,7,6
262,보문동4가,1,0,0,0,0,0,1
263,보문동5가,0,0,1,1,0,1,0
264,보문동6가,0,0,0,2,0,0,0
265,보문동7가,0,0,1,2,0,1,1
266,보문동1가,0,0,1,1,0,1,3
267,보문동2가,0,0,0,3,0,2,0
268,보문동3가,0,0,0,0,0,0,0
269,정릉동,10,5,6,27,0,19,10
270,길음동,2,1,2,13,0,24,9
271,종암동,6,2,4,17,0,9,7
272,하월곡동,6,2,3,20,0,16,10
273,상월곡동,3,0,2,3,0,2,1
274,장위동,1,2,6,24,0,10,5
275,석관동,2,2,4,15,0,6,6
276,미아동,3,13,5,67,6,41,22
277,번동,7,5,4,25,6,10,7
278,수유동,4,8,6,50,9,34,16
279,우이동,0,1,0,6,0,3,0
280,쌍문동,6,4,3,33,0,12,20
281,방학동,10,5,6,28,7,26,19
282,창동,12,6,5,34,5,32,31
283,도봉동,7,4,5,21,0,11,7
284,월계동,7,3,4,17,0,23,11
285,공릉동,11,3,7,24,0,34,20
286,하계동,6,1,5,12,0,7,3
287,상계동,21,8,7,60,17,70,49
288,중계동,17,7,1,28,11,30,18
289,수색동,0,0,2,5,0,2,0
290,녹번동,5,1,3,14,1,12,4
291,불광동,7,6,3,24,0,16,13
292,갈현동,8,5,1,20,0,14,15
293,구산동,3,0,0,14,0,12,3
294,대조동,2,1,0,12,9,16,12
295,응암동,6,6,4,30,0,28,28
296,역촌동,4,3,1,17,0,17,14
297,신사동,27,10,7,39,17,89,63
298,신사동,27,10,7,39,17,89,63
299,증산동,5,1,1,7,0,8,3
300,진관동,4,1,2,16,8,30,7
301,충정로2가,1,1,0,0,0,1,1
302,충정로3가,1,0,1,2,0,2,1
303,합동,1,1,0,1,0,1,0
304,미근동,1,0,0,1,0,0,1
305,냉천동,0,0,0,0,0,1,0
306,천연동,0,0,0,2,0,0,0
307,옥천동,0,0,0,1,0,0,0
308,영천동,1,0,0,1,0,3,2
309,현저동,1,1,0,1,0,0,1
310,북아현동,0,2,0,11,0,7,1
311,홍제동,4,6,4,18,0,17,10
312,대현동,0,2,0,2,2,6,3
313,대신동,0,0,1,1,2,3,1
314,신촌동,0,0,0,0,8,7,0
315,봉원동,0,1,0,0,0,0,0
316,창천동,0,1,1,6,10,14,7
317,연희동,1,2,7,14,1,21,11
318,홍은동,6,3,2,18,0,12,6
319,북가좌동,0,1,2,19,0,11,10
320,남가좌동,1,2,2,11,0,15,8
321,아현동,2,1,0,10,0,3,6
322,공덕동,5,1,2,9,0,9,9
323,신공덕동,1,0,0,4,0,7,2
324,도화동,6,3,1,12,0,9,11
325,용강동,4,1,1,3,0,4,4
326,토정동,0,0,0,1,0,0,0
327,마포동,2,0,0,5,0,1,0
328,대흥동,2,0,1,7,0,10,4
329,염리동,1,2,2,9,0,4,4
330,노고산동,0,0,0,3,0,4,7
331,신수동,2,0,0,8,0,6,3
332,현석동,0,0,0,1,0,1,0
333,구수동,1,0,0,0,0,3,2
334,창전동,2,1,1,5,0,4,6
335,상수동,2,1,0,1,0,11,3
336,하중동,0,0,0,0,0,0,0
337,신정동,27,6,11,61,0,56,49
338,신정동,27,6,11,61,0,56,49
339,당인동,1,0,0,0,0,0,0
340,서교동,3,1,0,9,5,36,28
341,동교동,1,0,0,1,24,17,8
342,합정동,1,0,2,8,0,18,11
343,망원동,1,2,2,20,0,25,9
344,연남동,0,1,0,5,0,58,4
345,성산동,7,6,5,15,9,23,9
346,중동,0,0,0,5,0,2,1
347,상암동,6,2,0,9,0,16,17
348,목동,25,12,6,50,17,64,67
349,신월동,13,11,11,45,0,24,13
350,염창동,8,4,4,13,0,13,15
351,등촌동,19,4,6,26,14,26,36
352,화곡동,16,17,12,81,5,52,56
353,가양동,5,2,7,18,0,9,19
354,마곡동,8,1,4,8,6,45,60
355,내발산동,6,0,2,16,0,19,16
356,외발산동,0,0,2,0,0,3,0
357,공항동,3,1,8,8,0,7,4
358,방화동,9,7,8,33,10,36,15
359,개화동,0,0,1,0,0,0,0
360,과해동,0,0,0,0,0,0,0
361,오곡동,0,0,4,0,0,0,0
362,오쇠동,0,0,0,0,0,0,0
363,신도림동,7,0,2,12,5,18,8
364,구로동,20,6,22,63,18,39,39
365,가리봉동,0,1,3,4,0,0,1
366,고척동,14,6,3,20,0,18,13
367,개봉동,5,8,6,31,1,21,15
368,오류동,2,2,4,18,0,8,9
369,궁동,1,1,2,4,0,3,0
370,온수동,0,0,1,5,0,3,2
371,천왕동,0,0,0,1,0,3,2
372,항동,0,0,1,1,0,3,4
373,가산동,13,5,2,14,6,19,24
374,독산동,14,5,7,58,8,26,21
375,시흥동,6,9,5,45,0,30,23
376,영등포동,1,1,1,3,7,11,2
377,영등포동1가,0,0,0,1,0,0,1
378,영등포동2가,0,1,0,2,0,0,1
379,영등포동3가,0,1,0,1,0,2,0
380,영등포동4가,0,0,0,0,12,21,3
381,영등포동5가,0,3,0,1,0,1,1
382,영등포동6가,1,0,1,0,0,1,0
383,영등포동7가,1,0,1,3,0,5,3
384,영등포동8가,1,0,0,2,0,2,4
385,여의도동,25,9,3,12,9,60,27
386,당산동1가,2,0,2,2,0,2,2
387,당산동2가,0,0,0,1,0,1,0
388,당산동3가,2,1,1,2,0,7,6
389,당산동4가,0,0,1,4,0,3,5
390,당산동5가,2,1,0,5,0,6,7
391,당산동6가,5,1,0,2,0,1,5
392,당산동,2,1,1,4,0,1,1
393,도림동,2,2,2,14,0,7,4
394,문래동1가,0,0,2,0,0,0,0
395,문래동2가,0,0,1,1,0,1,0
396,문래동3가,6,1,1,3,0,7,10
397,문래동4가,0,0,0,1,0,0,0
398,문래동5가,2,1,0,1,0,0,1
399,문래동6가,2,0,0,2,0,2,3
400,양평동1가,0,0,0,0,0,5,1
401,양평동2가,3,0,0,3,0,3,2
402,양평동3가,0,1,1,5,0,6,4
403,양평동4가,5,0,2,4,0,5,3
404,양평동5가,0,1,2,1,0,4,3
405,양평동6가,0,0,0,1,0,0,0
406,양화동,0,0,0,0,0,0,0
407,신길동,12,8,12,43,0,26,28
408,대림동,8,6,4,23,0,16,5
409,양평동,0,0,0,0,0,0,0
410,노량진동,0,2,2,12,0,13,11
411,상도동,10,4,6,33,0,34,19
412,상도1동,0,0,0,5,0,6,3
413,본동,0,0,0,5,0,2,1
414,흑석동,3,3,1,13,0,7,5
415,동작동,0,0,0,1,0,3,1
416,사당동,9,5,2,42,8,35,16
417,대방동,5,3,1,13,0,9,13
418,신대방동,10,4,2,22,6,13,13
419,봉천동,26,10,6,91,5,66,71
420,신림동,14,15,8,123,8,68,66
421,남현동,2,1,1,4,0,9,4
422,방배동,34,9,7,47,0,44,56
423,양재동,19,5,8,21,0,36,20
424,우면동,1,1,2,6,0,7,7
425,원지동,0,0,1,0,0,0,0
426,잠원동,13,7,1,13,0,19,16
427,반포동,25,5,7,25,5,53,40
428,서초동,67,10,10,60,8,77,121
429,내곡동,0,0,1,1,0,2,0
430,염곡동,0,1,0,1,0,1,0
431,신원동,0,1,0,2,0,1,0
432,역삼동,65,21,7,69,19,74,91
433,개포동,14,3,2,28,0,20,12
434,청담동,27,5,2,22,0,23,60
435,삼성동,37,6,4,29,31,67,37
436,대치동,52,13,4,30,0,45,58
437,논현동,48,16,3,53,21,49,75
438,압구정동,3,1,0,10,0,42,2
439,세곡동,1,1,2,2,0,2,2
440,자곡동,2,0,1,4,0,4,1
441,율현동,1,0,1,0,0,2,1
442,일원동,13,2,2,13,0,13,7
443,수서동,6,0,2,7,0,10,4
444,도곡동,24,6,6,16,7,23,27
445,잠실동,15,7,5,33,0,48,42
446,신천동,5,3,0,10,21,31,15
447,풍납동,3,3,1,20,0,11,6
448,송파동,9,2,3,21,0,23,31
449,석촌동,6,5,6,22,0,14,18
450,삼전동,8,2,1,18,0,11,19
451,가락동,19,5,5,31,0,27,20
452,문정동,16,5,1,23,17,29,35
453,장지동,0,0,5,5,0,16,8
454,방이동,17,3,3,23,0,21,30
455,오금동,13,2,3,20,0,12,12
456,거여동,5,3,2,17,0,10,11
457,마천동,3,2,3,15,0,7,2
458,명일동,12,3,3,12,0,23,17
459,고덕동,1,1,1,10,0,13,6
460,상일동,6,1,1,11,0,11,5
461,길동,9,4,0,17,0,16,18
462,둔촌동,6,2,2,9,0,8,8
463,암사동,8,3,2,23,0,22,16
464,성내동,14,4,4,35,19,34,30
465,천호동,7,3,5,47,6,37,14
466,강일동,1,0,1,9,0,8,3
467,포이동,1,0,0,0,0,0,0
468,상록구,0,0,1,0,0,0,0
469,대월면,0,0,0,0,0,1,0
