기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11650652,135,2,16,,,11,,1,2,1,,,1,,,,,,2,54
202203,11650620,105,4,3,,2,6,,2,,1,7,,,,,,,,,50
202203,11680655,132,4,9,1,4,20,2,1,2,1,,,,,,,,,1,26
202203,11680565,278,11,19,,4,26,2,2,1,1,1,,,,,,,,1,23
202203,11680730,65,4,1,,,11,1,2,,1,,,,,,,,,,18
202203,11710532,66,3,3,,1,12,1,1,1,,,,,,,,,,,12
202203,11710610,102,4,2,,,14,3,1,1,1,,,,,1,,,,1,12
202203,11710566,74,4,6,,,6,1,2,2,3,11,,,,,,,,3,17
202203,11740610,198,4,3,,1,26,1,1,1,,,,,,3,,,,,23
202203,11740530,136,5,6,,2,17,,1,,,,,,,,,,,1,22
202203,11710690,50,3,3,,,10,1,2,,1,,,,,,,,,2,7
202203,11740690,14,,,,,,,2,,1,,,,,,,,,1,6
202203,11140650,62,4,2,,,5,,1,,2,,,,,,,,,,14
202203,11140635,80,4,2,,1,12,2,,,,,,,,,,,,3,12
202203,11140665,43,3,1,,,5,,1,1,,,,,,,,,,2,4
202203,11140680,65,3,2,,,7,,1,,1,1,,,,5,,,,,10
202203,11170570,61,3,2,,,4,2,1,1,1,,,3,,,,,,,28
202203,11200660,66,3,5,,,6,,,,1,1,,,,,,,,1,10
202203,11200615,118,3,2,,,13,,1,,,,,,,,,,,,45
202203,11200720,41,2,,,1,5,,1,,,,,,,,,,,,19
202203,11215830,80,2,1,,,8,2,4,2,1,,,1,,,,,,,21
202203,11215730,124,5,5,,1,12,1,2,,,20,,,,,,,,1,22
202203,11215870,114,5,4,,,16,2,1,,,,,1,,,,,1,1,25
202203,11230600,110,4,5,,,9,,2,1,,,,,,,,,,,25
202203,11230660,149,3,2,,2,21,1,2,,1,1,,,,1,,,,,38
202203,11230730,67,5,1,1,,5,1,2,3,3,4,,,,,,,,,26
202203,11260540,53,2,,,,5,1,1,1,,,,,,,,,,1,16
202203,11260590,113,4,3,,1,10,,,,,,,,,2,,,1,,15
202203,11260660,44,1,1,,1,3,,2,,1,,,3,,,,,,,10
202203,11260630,84,3,4,,,7,,2,,,,,,,,,,,1,21
202203,11260690,83,6,3,,,12,3,4,,,,,,,,,,,,22
202203,11290620,50,2,,,,6,2,,,,1,,,,,,,,1,17
202203,11290600,166,4,6,1,1,10,,1,1,1,74,,,,,,,,2,36
202203,11290610,72,4,4,,,6,,2,,,,,,,1,,,,2,11
202203,11290770,82,3,2,,,11,1,3,,,,,,,,,,,1,27
202203,11320521,115,4,1,,,9,2,2,1,1,2,,1,,,,,,,39
202203,11320522,102,8,3,,,7,1,1,1,1,1,,,,1,,,,3,49
202203,11350595,192,4,6,,4,21,3,3,,,1,,1,,,,,,3,56
202203,11320681,49,1,,,,4,5,2,2,3,,,,,,,,,,21
202203,11350570,120,4,,,,5,3,2,3,4,11,,,,,,,,2,62
202203,11320700,52,3,,,,7,,1,1,,,,,,,,,,,22
202203,11350695,222,8,11,1,1,29,,3,2,1,4,,,,,,,,,40
202203,11380530,99,6,1,,,5,,3,3,1,,,3,,,,,,,29
202203,11410620,125,3,2,,,10,2,2,,,1,,,,1,,,,1,40
202203,11440555,127,5,8,,,16,1,1,1,1,,,,,1,,,,2,23
202203,11440740,211,11,11,,,14,3,3,1,1,,,1,,,,,,1,105
202203,11470570,45,3,1,,,6,1,2,2,,,,,,,,,,,12
202203,11500560,72,4,3,,,7,2,,,,,,,,,,,,,12
202203,11500570,92,4,2,,,14,3,1,,2,,,,,,,,,,33
202203,11500630,163,2,3,,2,21,4,3,1,3,,,,,1,,,,1,45
202203,11500615,129,4,4,,3,12,3,2,,,5,,,,,,,,1,33
202203,11500620,170,7,8,1,,13,1,2,2,,4,,,,,25,,,2,42
202203,11530595,72,1,,,,6,,1,,1,,,,,23,,,,,8
202203,11530740,140,5,3,,1,11,2,1,2,,4,,1,,,,,,1,56
202203,11545610,193,3,6,,2,17,2,4,3,,,,,,3,,,,1,72
202203,11530790,142,3,1,,,5,2,1,1,6,,,1,,,,,,3,70
202203,11560540,365,23,70,1,,44,,2,2,2,,,,,,,,,5,60
202203,11590510,160,5,4,,,13,2,3,1,,1,,,,2,,,,3,56
202203,11560605,161,8,9,,,17,,3,2,,,,,,2,,,,1,58
202203,11560700,71,2,4,2,,18,,1,1,,,,2,,3,,,,,15
