기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11350700,58,3,3,,,7,,,1,,,,,,,,,,1,17
202203,11380552,110,3,1,,1,15,5,2,1,5,,,,,,,,,1,36
202203,11380640,64,3,,,,6,1,1,2,,,,2,,,,,,1,15
202203,11410565,175,9,8,,,7,1,3,1,2,24,,,,,,,,3,59
202203,11410685,155,4,2,1,,8,,2,3,1,12,,,,,,,,,83
202203,11410720,102,3,3,,,12,2,,,,,,,,,,,,,39
202203,11440630,66,4,1,,1,5,1,1,1,1,,,,,,,,,,24
202203,11440720,81,4,2,,,5,1,2,2,1,1,,,,1,,,,,29
202203,11470590,45,2,1,,,6,3,1,,,,,,,,,,,,11
202203,11500535,162,6,3,1,2,18,2,5,2,4,,,,,,,,,,51
202203,11500520,82,1,5,,1,10,,1,,,,,,,,,,,1,20
202203,11500591,107,7,5,,,8,2,1,,,9,,,,,,,,,29
202203,11530730,107,5,2,,1,11,,2,1,1,,,,,,,,,,40
202203,11530760,70,3,2,,,9,1,3,1,,,,1,,,,,,,23
202203,11530560,145,5,5,,2,19,,3,1,1,2,1,,,,,,,1,46
202203,11545700,57,1,1,,,6,,1,1,,,,,,,,,,,27
202203,11545630,113,4,4,,,14,2,2,2,1,,,1,,,,,,,33
202203,11560660,41,1,1,,,2,2,1,,,,,,,,,,,,16
202203,11560720,118,2,7,,1,11,3,2,1,,2,,1,,,,,,2,48
202203,11590680,96,7,7,1,,16,,1,1,1,,,,,,,,,,31
202203,11590660,182,5,5,,,16,3,3,4,4,,,,,,,,,2,63
202203,11620565,86,4,,,,6,3,2,1,1,,,,,,,,,,39
202203,11620655,47,6,1,,,7,,1,,,1,,,,,,,,,10
202203,11620595,136,5,6,,1,23,,2,2,3,,,1,,1,,,,1,15
202203,11650560,129,6,6,,1,20,1,2,1,1,,,,,,,,,1,25
202203,11650510,182,4,10,,1,14,,2,,,13,,,,,,,,2,38
202203,11650531,253,2,13,,1,31,2,2,1,,,,,,,,,,,40
202203,11620765,114,3,3,,1,11,1,2,2,2,,,,,1,,,,,44
202203,11650580,94,3,7,,,11,,1,1,,,,,,,,,,,16
202203,11680640,526,15,49,1,3,64,1,1,,,,,,,1,,,,2,42
202203,11680656,118,7,23,,,10,2,1,1,2,,,,,,,,,3,27
202203,11680580,189,6,26,,3,13,1,1,1,1,,1,,,,,,,3,38
202203,11710550,74,3,2,,,13,,1,,,,,,,,,,,,11
202203,11680750,81,3,3,,,11,2,1,1,2,,,,,,,,,2,23
202203,11710641,60,3,1,,,5,1,1,1,,,,,,,,,,,19
