,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
37,종로2가,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,13,0,1,0,1,1,1,0.0,0.0,0.0,59.0,23.0,4.0
38,팔판동,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,34.0,5.0,1.0
39,삼청동,0,7,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,2.0,2.0,100.0,23.0,0.0
40,안국동,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0.0,1.0,1.0,37.0,13.0,0.0
41,소격동,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0.0,1.0,1.0,44.0,8.0,0.0
42,화동,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,31.0,6.0,0.0
43,사간동,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,21.0,4.0,0.0
44,송현동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
45,가회동,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4.0,4.0,24.0,13.0,0.0
46,재동,0,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0.0,0.0,0.0,74.0,11.0,0.0
47,계동,0,6,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0.0,0.0,0.0,73.0,32.0,0.0
48,원서동,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,2.0,2.0,29.0,6.0,0.0
49,훈정동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,묘동,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,1,0.0,0.0,0.0,72.0,8.0,3.0
51,봉익동,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,43.0,4.0,0.0
52,돈의동,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,126.0,5.0,0.0
53,장사동,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,25.0,1.0,0.0
54,관수동,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0.0,0.0,0.0,106.0,9.0,1.0
55,종로3가,1,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,6,15,0,0,0,0,1,2,0.0,0.0,0.0,68.0,7.0,4.0
56,인의동,0,2,0,1,1,2,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0.0,0.0,0.0,71.0,9.0,1.0
57,예지동,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,25.0,2.0,0.0
58,원남동,0,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,39.0,8.0,1.0
59,연지동,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0.0,0.0,0.0,59.0,13.0,0.0
60,종로4가,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,1,0.0,0.0,0.0,41.0,6.0,0.0
