,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
117,정릉제1동,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
118,정릉제2동,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
119,정릉제3동,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
120,정릉제4동,3,1,0,0,2,2,0,0,0,0,0,0,0,1,3
121,길음제1동,1,2,0,0,1,0,0,1,0,0,0,0,0,1,2
122,길음제2동,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1
123,종암동,3,1,0,1,3,0,0,0,0,0,0,0,0,0,3
124,월곡제1동,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
125,월곡제2동,3,2,0,0,2,2,0,0,0,0,0,0,0,2,2
126,장위제1동,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
127,장위제2동,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2
128,장위제3동,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3
129,석관동,3,1,0,0,3,0,0,1,0,2,0,0,0,2,2
130,삼양동,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2
131,미아동,1,1,0,1,2,2,0,0,0,0,0,0,0,1,2
132,송중동,2,0,0,2,3,1,1,0,0,0,0,0,0,0,3
133,송천동,3,2,0,1,3,0,0,2,0,0,0,0,0,2,1
134,삼각산동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
135,번1동,1,1,0,1,2,0,0,0,0,0,0,0,0,1,2
136,번2동,2,0,0,0,1,0,0,0,0,1,0,0,0,0,3
137,번3동,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
138,수유1동,2,1,0,0,2,0,0,1,0,0,0,0,0,1,3
139,수유2동,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0
140,수유3동,2,2,0,1,3,0,0,0,0,0,0,0,0,0,2
141,우이동,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3
142,인수동,3,1,1,2,2,2,0,1,0,0,0,0,0,0,3
143,창제1동,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2
144,창제2동,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3
145,창제3동,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
146,창제4동,3,2,0,0,1,0,0,0,0,0,0,0,0,2,3
147,창제5동,3,1,0,2,2,0,0,0,0,0,0,0,0,0,1
148,도봉제1동,2,0,0,0,1,1,0,1,0,0,0,0,0,0,3
149,도봉제2동,3,1,0,0,1,1,0,0,0,1,0,0,0,3,3
150,쌍문제1동,3,0,0,1,0,2,0,0,0,0,0,0,0,0,3
151,쌍문제2동,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1
152,쌍문제3동,1,1,1,0,2,0,0,0,0,1,0,0,0,1,1
153,쌍문제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,방학제1동,3,2,0,2,3,0,0,0,0,0,0,0,0,1,3
155,방학제2동,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
156,방학제3동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
157,월계1동,2,1,0,0,1,2,0,0,0,0,0,0,0,0,3
158,월계2동,2,0,0,0,0,2,0,0,0,0,0,0,0,2,3
159,월계3동,2,1,0,0,1,0,0,0,0,0,0,0,0,2,3
160,공릉1동,2,2,0,2,3,1,0,1,0,0,0,0,0,3,3
161,공릉2동,3,2,1,0,2,2,0,1,0,0,0,0,0,1,3
162,하계1동,2,1,1,0,1,2,0,0,0,0,0,0,0,0,3
163,하계2동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
164,중계본동,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
165,중계1동,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
166,중계4동,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
167,중계2.3동,3,1,0,0,1,0,0,0,0,0,0,0,0,1,3
168,상계1동,2,1,0,0,2,0,0,0,0,0,0,0,0,1,3
169,상계2동,0,0,0,2,3,0,0,0,0,0,0,0,0,2,2
