,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
369,역삼2동,1,3,0,2,3,1,0,0,0,0,0,0,0,0,2
370,도곡1동,2,3,1,2,3,0,0,0,0,0,0,0,0,1,1
371,도곡2동,3,3,0,0,1,0,0,0,0,0,0,0,0,3,2
372,개포1동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
373,개포2동,1,1,0,0,1,0,0,0,0,0,0,0,0,3,3
374,개포4동,1,2,0,0,1,0,0,0,0,0,0,0,0,0,3
375,세곡동,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3
376,일원본동,0,2,1,0,3,0,0,0,0,0,0,0,0,1,2
377,일원1동,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1
378,일원2동,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
379,수서동,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1
380,풍납1동,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
381,풍납2동,2,2,1,0,3,2,0,0,0,0,0,0,0,0,1
382,거여1동,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
383,거여2동,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
384,마천1동,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0
385,마천2동,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
386,방이1동,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
387,방이2동,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0
388,오륜동,2,2,0,0,0,2,0,0,0,0,0,0,0,3,1
389,오금동,2,2,0,0,2,0,0,0,0,0,0,0,0,3,2
390,송파1동,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
391,송파2동,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
392,석촌동,1,3,0,2,3,0,0,0,0,0,0,0,0,2,1
393,삼전동,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0
394,가락본동,2,3,1,2,3,0,0,0,0,0,0,0,0,0,1
395,가락1동,0,3,0,0,2,0,0,1,0,0,0,0,0,3,0
396,가락2동,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1
397,문정1동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
398,문정2동,3,3,0,1,3,0,0,0,0,0,0,0,0,3,0
399,장지동,2,1,0,0,1,0,0,0,0,0,0,0,0,1,3
400,위례동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
401,잠실본동,2,3,0,1,3,0,0,0,0,0,0,0,0,1,0
402,잠실2동,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0
403,잠실3동,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0
404,잠실4동,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
405,잠실6동,2,3,0,1,3,0,0,0,0,0,0,0,0,2,0
406,잠실7동,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
407,강일동,2,1,0,0,2,0,0,0,0,0,0,0,0,3,3
408,명일제1동,2,2,0,2,3,0,0,0,0,0,0,0,0,1,1
409,명일제2동,1,2,0,0,3,0,0,0,0,0,0,0,0,1,1
410,고덕제1동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
411,고덕제2동,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
412,암사제1동,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
413,암사제2동,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
414,암사제3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,천호제1동,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0
416,천호제2동,2,1,0,1,3,0,0,0,0,2,0,0,0,0,1
417,천호제3동,2,1,0,2,2,0,0,0,0,1,0,0,0,0,0
418,성내제1동,3,2,0,2,1,1,0,0,0,0,0,0,0,1,1
419,성내제2동,0,1,0,2,2,0,0,0,0,0,0,0,0,3,0
420,성내제3동,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0
421,길동,3,3,1,2,3,1,0,0,0,0,0,0,0,1,2
422,둔촌제1동,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
423,둔촌제2동,2,2,1,0,3,0,0,0,0,0,0,0,0,1,2
